petal_length,petal_width,label,species,split,is_noise
4.389,0.867,1,Versicolor,train,False
1.567,0.514,0,Setosa,train,False
4.417,2.032,2,Virginica,train,False
1.199,0.198,0,Setosa,train,False
3.112,1.851,1,Versicolor,train,False
5.434,1.898,2,Virginica,train,False
1.236,0.312,0,Setosa,train,False
1.413,0.283,0,Setosa,train,False
4.248,1.195,1,Versicolor,train,False
3.723,1.813,1,Versicolor,train,False
1.363,0.193,0,Setosa,train,False
3.62,1.324,1,Versicolor,train,False
5.736,1.202,2,Virginica,train,False
1.478,0.384,0,Setosa,train,False
1.214,0.353,0,Setosa,train,False
1.473,0.187,0,Setosa,train,False
3.63,0.946,1,Versicolor,train,False
1.123,0.172,0,Setosa,train,False
4.31,0.845,1,Versicolor,train,False
4.491,2.55,2,Virginica,train,False
1.741,0.405,0,Setosa,train,False
4.136,2.154,2,Virginica,train,False
4.054,1.807,1,Versicolor,train,False
4.023,0.76,1,Versicolor,train,False
4.687,1.819,2,Virginica,train,False
1.247,0.509,0,Setosa,train,False
1.398,0.321,0,Setosa,train,False
4.513,1.533,2,Virginica,train,False
4.449,0.795,1,Versicolor,train,False
1.223,0.348,0,Setosa,train,False
4.844,0.865,1,Versicolor,train,False
3.547,1.439,1,Versicolor,train,False
4.552,1.789,2,Virginica,train,False
0.929,0.233,0,Setosa,train,False
1.419,0.168,0,Setosa,train,False
3.4,1.305,1,Versicolor,train,False
4.611,1.992,2,Virginica,train,False
1.475,0.332,0,Setosa,train,False
1.599,0.244,0,Setosa,train,False
5.881,1.466,2,Virginica,train,False
1.81,0.265,0,Setosa,train,False
4.929,1.215,2,Virginica,train,False
3.908,1.015,1,Versicolor,train,False
5.421,1.914,1,Versicolor,train,False
1.77,0.164,0,Setosa,train,False
1.679,0.372,0,Setosa,train,False
4.211,1.184,1,Versicolor,train,False
4.847,1.191,1,Versicolor,train,False
1.539,0.246,0,Setosa,train,False
6.202,1.94,2,Virginica,train,False
4.744,1.311,1,Versicolor,train,False
4.031,0.797,1,Versicolor,train,False
5.824,2.08,2,Virginica,train,False
1.484,0.053,0,Setosa,train,False
5.209,1.942,2,Virginica,train,False
5.748,2.143,2,Virginica,train,False
4.387,1.107,1,Versicolor,train,False
4.601,1.927,2,Virginica,train,False
1.345,0.123,0,Setosa,train,False
1.519,0.22,0,Setosa,train,False
4.672,1.698,2,Virginica,train,False
3.992,0.892,1,Versicolor,train,False
1.151,0.134,0,Setosa,train,False
1.544,0.241,0,Setosa,train,False
